case,phase,values,mt
BoredExcited,FU,75,177
BoredExcited,FU,75,178
BoredExcited,FU,75,179
BoredExcited,FU,75,180
BoredExcited,FU,75,181
BoredExcited,FU,75,182
BoredExcited,FU,75,183
BoredExcited,FU,75,184
BoredExcited,FU,75,185
BoredExcited,FU,75,186
BoredExcited,FU,75,187
BoredExcited,FU,75,188
BoredExcited,FU,75,189
BoredExcited,FU,75,190
BoredExcited,FU,50,191
BoredExcited,FU,50,192
BoredExcited,FU,75,193
BoredExcited,FU,75,194
BoredExcited,FU,75,195
BoredExcited,FU,75,196
Adherance,A,0,1
Adherance,A,0,2
Adherance,A,0,3
Adherance,A,0,4
Adherance,A,0,5
Adherance,A,0,6
Adherance,A,0,7
Adherance,A,0,8
Adherance,A,0,9
Adherance,A,0,10
Adherance,A,0,11
Adherance,A,0,12
Adherance,A,0,13
Adherance,A,0,14
Adherance,A,0,15
Adherance,A,0,16
Adherance,A,0,17
Adherance,A,0,18
Adherance,A,0,19
Adherance,A,0,20
Adherance,A,0,21
Adherance,A,0,22
Adherance,A,0,23
Adherance,A,0,24
Adherance,A,0,25
Adherance,A,0,26
Adherance,A,0,27
Adherance,A,0,28
Adherance,B,1,29
Adherance,B,1,30
Adherance,B,1,31
Adherance,B,1,32
Adherance,B,1,33
Adherance,B,1,34
Adherance,B,1,35
Adherance,B,1,36
Adherance,B,1,37
Adherance,B,1,38
Adherance,B,1,39
Adherance,B,1,40
Adherance,B,0,41
Adherance,B,1,42
Adherance,B,1,43
Adherance,B,1,44
Adherance,B,1,45
Adherance,B,1,46
Adherance,B,1,47
Adherance,B,1,48
Adherance,B,1,49
Adherance,B,1,50
Adherance,B,1,51
Adherance,B,0,52
Adherance,B,1,53
Adherance,B,1,54
Adherance,B,1,55
Adherance,B,1,56
Adherance,B,1,57
Adherance,B,1,58
Adherance,B,1,59
Adherance,B,1,60
Adherance,B,1,61
Adherance,B,0,62
Adherance,B,1,63
Adherance,B,1,64
Adherance,B,1,65
Adherance,B,1,66
Adherance,B,1,67
Adherance,B,0,68
Adherance,B,1,69
Adherance,B,1,70
Adherance,A2,0,71
Adherance,A2,0,72
Adherance,A2,0,73
Adherance,A2,0,74
Adherance,A2,0,75
Adherance,A2,0,76
Adherance,A2,0,77
Adherance,A2,0,78
Adherance,A2,0,79
Adherance,A2,0,80
Adherance,A2,0,81
Adherance,A2,0,82
Adherance,A2,0,83
Adherance,A2,0,84
Adherance,A2,0,85
Adherance,A2,0,86
Adherance,A2,0,87
Adherance,A2,0,88
Adherance,A2,0,89
Adherance,A2,0,90
Adherance,A2,0,91
Adherance,A2,0,92
Adherance,A2,0,93
Adherance,A2,0,94
Adherance,A2,0,95
Adherance,A2,0,96
Adherance,A2,0,97
Adherance,A2,0,98
Adherance,C,0,99
Adherance,C,1,100
Adherance,C,1,101
Adherance,C,0,102
Adherance,C,1,103
Adherance,C,0,104
Adherance,C,1,105
Adherance,C,0,106
Adherance,C,1,107
Adherance,C,0,108
Adherance,C,1,109
Adherance,C,1,110
Adherance,C,1,111
Adherance,C,0,112
Adherance,C,0,113
Adherance,C,1,114
Adherance,C,1,115
Adherance,C,0,116
Adherance,C,1,117
Adherance,C,1,118
Adherance,C,0,119
Adherance,C,1,120
Adherance,C,0,121
Adherance,C,0,122
Adherance,C,0,123
Adherance,C,1,124
Adherance,C,1,125
Adherance,C,0,126
Adherance,C,1,127
Adherance,C,0,128
Adherance,C,1,129
Adherance,C,1,130
Adherance,C,0,131
Adherance,C,1,132
Adherance,C,0,133
Adherance,C,0,134
Adherance,C,1,135
Adherance,C,1,136
Adherance,C,0,137
Adherance,C,0,138
Adherance,C,1,139
Adherance,C,0,140
Adherance,FU,1,141
Adherance,FU,0,142
Adherance,FU,1,143
Adherance,FU,0,144
Adherance,FU,1,145
Adherance,FU,0,146
Adherance,FU,1,147
Adherance,FU,1,148
Adherance,FU,0,149
Adherance,FU,1,150
Adherance,FU,1,151
Adherance,FU,0,152
Adherance,FU,1,153
Adherance,FU,0,154
Adherance,FU,0,155
Adherance,FU,1,156
Adherance,FU,1,157
Adherance,FU,0,158
Adherance,FU,1,159
Adherance,FU,1,160
Adherance,FU,0,161
Adherance,FU,0,162
Adherance,FU,1,163
Adherance,FU,1,164
Adherance,FU,0,165
Adherance,FU,1,166
Adherance,FU,1,167
Adherance,FU,0,168
Adherance,FU,1,169
Adherance,FU,1,170
Adherance,FU,0,171
Adherance,FU,0,172
Adherance,FU,1,173
Adherance,FU,1,174
Adherance,FU,0,175
Adherance,FU,1,176
Adherance,FU,0,177
Adherance,FU,1,178
Adherance,FU,0,179
Adherance,FU,0,180
Adherance,FU,1,181
Adherance,FU,0,182
Adherance,FU,0,183
Adherance,FU,1,184
Adherance,FU,1,185
Adherance,FU,0,186
Adherance,FU,1,187
Adherance,FU,1,188
Adherance,FU,1,189
Adherance,FU,1,190
Adherance,FU,0,191
Adherance,FU,0,192
Adherance,FU,1,193
Adherance,FU,1,194
Adherance,FU,0,195
Adherance,FU,1,196
CommunityGS,A,0,1
CommunityGS,A,0,2
CommunityGS,A,0,3
CommunityGS,A,0,4
CommunityGS,A,0,5
CommunityGS,A,0,6
CommunityGS,A,0,7
CommunityGS,A,0,8
CommunityGS,A,0,9
CommunityGS,A,0,10
CommunityGS,A,0,11
CommunityGS,A,0,12
CommunityGS,A,0,13
CommunityGS,A,0,14
CommunityGS,A,0,15
CommunityGS,A,0,16
CommunityGS,A,0,17
CommunityGS,A,0,18
CommunityGS,A,0,19
CommunityGS,A,0,20
CommunityGS,A,0,21
CommunityGS,A,0,22
CommunityGS,A,0,23
CommunityGS,A,0,24
CommunityGS,A,0,25
CommunityGS,A,0,26
CommunityGS,A,0,27
CommunityGS,A,0,28
CommunityGS,B,0,29
CommunityGS,B,0,30
CommunityGS,B,0,31
CommunityGS,B,0,32
CommunityGS,B,0,33
CommunityGS,B,0,34
CommunityGS,B,0,35
CommunityGS,B,0,36
CommunityGS,B,0,37
CommunityGS,B,0,38
CommunityGS,B,0,39
CommunityGS,B,0,40
CommunityGS,B,0,41
CommunityGS,B,0,42
CommunityGS,B,0,43
CommunityGS,B,0,44
CommunityGS,B,0,45
CommunityGS,B,0,46
CommunityGS,B,0,47
CommunityGS,B,0,48
CommunityGS,B,0,49
CommunityGS,B,0,50
CommunityGS,B,0,51
CommunityGS,B,0,52
CommunityGS,B,0,53
CommunityGS,B,0,54
CommunityGS,B,0,55
CommunityGS,B,0,56
CommunityGS,B,0,57
CommunityGS,B,0,58
CommunityGS,B,0,59
CommunityGS,B,0,60
CommunityGS,B,0,61
CommunityGS,B,0,62
CommunityGS,B,0,63
CommunityGS,B,0,64
CommunityGS,B,0,65
CommunityGS,B,0,66
CommunityGS,B,0,67
CommunityGS,B,0,68
CommunityGS,B,0,69
CommunityGS,B,0,70
CommunityGS,A2,0,71
CommunityGS,A2,0,72
CommunityGS,A2,0,73
CommunityGS,A2,0,74
CommunityGS,A2,0,75
CommunityGS,A2,0,76
CommunityGS,A2,0,77
CommunityGS,A2,0,78
CommunityGS,A2,0,79
CommunityGS,A2,0,80
CommunityGS,A2,0,81
CommunityGS,A2,0,82
CommunityGS,A2,0,83
CommunityGS,A2,0,84
CommunityGS,A2,0,85
CommunityGS,A2,0,86
CommunityGS,A2,0,87
CommunityGS,A2,0,88
CommunityGS,A2,0,89
CommunityGS,A2,0,90
CommunityGS,A2,0,91
CommunityGS,A2,0,92
CommunityGS,A2,0,93
CommunityGS,A2,0,94
CommunityGS,A2,0,95
CommunityGS,A2,0,96
CommunityGS,A2,0,97
CommunityGS,A2,0,98
CommunityGS,C,1,99
CommunityGS,C,0,100
CommunityGS,C,0,101
CommunityGS,C,1,102
CommunityGS,C,0,103
CommunityGS,C,1,104
CommunityGS,C,0,105
CommunityGS,C,1,106
CommunityGS,C,0,107
CommunityGS,C,1,108
CommunityGS,C,0,109
CommunityGS,C,0,110
CommunityGS,C,0,111
CommunityGS,C,1,112
CommunityGS,C,1,113
CommunityGS,C,0,114
CommunityGS,C,0,115
CommunityGS,C,1,116
CommunityGS,C,0,117
CommunityGS,C,0,118
CommunityGS,C,1,119
CommunityGS,C,0,120
CommunityGS,C,0,121
CommunityGS,C,1,122
CommunityGS,C,1,123
CommunityGS,C,0,124
CommunityGS,C,0,125
CommunityGS,C,1,126
